,bpm,key_signature,chords,song_name
0,82.00003553334872,C major,"['iv', 'i', 'i42', 'iv', 'i', 'i42', 'iv', 'i', 'V65', 'IV', 'iv', 'i42', 'iv', 'i', 'i42', 'ii65', 'i43', 'i42', 'i', 'i', 'i42', 'iv', 'i', 'i42', 'i', 'i43', 'i42', 'iv', 'i', 'i42', 'iv', 'i', 'i42', 'i43', 'vi42', 'i42', 'II6', 'V53', 'II53', 'v', 'VI53', 'III65M7', 'iii', 'II53', 'v', 'vi', 'III65M7', 'iii', 'i42', 'i42', 'iv', 'i', 'i42', 'iv', 'i', 'i', 'IV53', 'i', 'i43', 'iv', 'i', 'i42', 'iv', 'i', 'i42', 'iv', 'i', 'V65', 'iv', 'i', 'i7', 'II6', 'V53', 'II53', 'v', 'vi', 'III65M7', 'III6', 'II53', 'V53', 'vi', 'III7', 'III6', 'i42', 'i42', 'iv', 'i', 'i42', 'iv', 'i', 'i43', 'iv', 'i', 'V', 'ii65', 'i', 'i42', 'iv', 'i', 'i7', 'i42', 'iv', 'i', 'i7', 'i42', 'iv', 'i', 'i', 'i', 'i', 'i']",#40
0,102.0000510000255,A- major,"['-', 'bIII53', 'bIII', 'i64', 'v7', 'v65', 'i', 'biv', 'bIV', 'bbiii', 'biii', 'i', 'bbiii64', 'i64', 'i64', 'i64', 'biv', 'i53', 'bbIII', 'v42', 'i64', 'biv', 'biv', 'i64', 'bbiii6', 'v', 'biv', 'bbiii', 'bbiii', 'i64', 'i53', 'i64', 'bbiii', 'bbiii', 'bbiii6', 'bbiii', 'i64', 'bbiii', 'bIII', 'i65', 'i64', 'v', 'v', 'biv', 'biv', 'biv', 'biv', 'bbiii', 'biii', 'i65', 'bbiii6', 'bbiii', 'i64', 'bbiii', 'i64', 'i64', 'bi64', 'bi42', 'biv', 'v65', 'bbiii', 'bbiii', 'bbvii', 'bi43', 'i', 'bi64', 'bbiii', 'bi', 'biv', 'bbiii6', 'bi7', 'bbvii', 'bi43', 'bbiii', 'i43', 'biv43', 'bbiii', 'bbiii6', 'bbiii53', 'bbiii', 'bi53', 'bi6']",'39
0,119.99999999999999,E- major,"['-', 'I53', 'I7', 'i', '#v', 'V', '#iv65', 'iii6', 'iii', 'vi42', '#iv7', '#iv65', 'vii42', '#ii42o7', 'I', 'i65', '#ii', '#ii', 'I64', 'iii', 'i', '#v', 'i43', '#IV', 'II7', 'I', 'i', '#iii65o7', 'vi', 'i', '#v', '#ii', '#ii', 'I', 'I53', 'I64', 'I53', 'I53']","'Arietta' op. 12, Nr. 1 aus Lyrische Stucke"
0,123.00123001230011,F major,"['-', 'I53', 'V65', 'V65', 'I53', 'V65', 'V65', 'I53', 'vi42', 'V65', 'iii', 'I6', 'V65', 'v42', 'II65', 'II7', 'i', 'II7', 'I42', 'iii42', 'V', 'I53', 'v42', 'V7', 'I53', 'V65M7', 'V42', 'I6', 'I7', 'IV', 'ii64', 'IV', 'I7', 'iii7', 'I42', 'I7', 'IV6', 'ii64', 'vi', 'bVII', 'bVII43', 'ii6', 'IV53', 'IV53', 'ii42', 'I7', 'I7', 'vi', 'IV6', 'IV6', 'ii6', 'bVII53', 'ii64', 'IV6', 'iv']",('t Is weer) Harmonikatijd
0,130.00238337702856,C major,"['-', '-', 'I53', 'vi53', 'I53', 'vi53', 'I6', 'vi53', 'I53', 'vi53', 'I6', 'vi', 'I53', 'vi53', 'I53', 'I', 'vii', 'IV53', 'I64', 'vi53', 'I53', 'vi53', 'I53', 'vi53', 'vi', 'vi', 'I53', 'I53', 'vi', 'vi', 'I53', 'I64', 'I6', 'vi53', 'I53', 'vi', 'I6', 'vi', 'I53', 'vi53', 'I53', 'I', 'vii', 'IV53', 'I53', 'vi', 'I53', 'vi', 'I53', 'I53', 'I', 'vii', 'IV53', 'I64', 'vi53', 'I53', 'vi53', 'I53', 'vi', 'I6', 'I64']",('Till) I Kissed You
0,119.99999999999999,G major,"['I', 'V7M7', 'I', 'v7', 'vi42', 'I53', 'V42M7', 'I53', 'I53', 'I6', 'V42M7', 'I53', 'I53', 'IV53', 'I64', 'IV6', 'I64', 'I53', 'V7M7', 'I64', 'I64', 'I6', 'V42M7', 'I6', 'I6', 'I6', 'V42M7', 'I53', 'I6', 'IV53', 'I64', 'IV6', 'I64', 'I53', 'V7M7', 'I64', 'I64', 'IV53', 'IV64', 'ii7', 'IV53', 'II7M7', 'II7M7', 'V7M7', 'v7', 'I6', 'V42M7', 'I6', 'I6', 'I6', 'V7M7', 'I64', 'I64', 'IV53', 'I64', 'IV6', 'I64', 'I64', 'V7M7', 'I64', 'I64']",(and) Then He Kissed Me
0,152.00032426735845,a minor,"['iv53', 'iv53', 'III53', 'III53', 'iv53', 'iv53', 'III53', 'III53', 'iv53', 'iv53', 'v53', 'v53', 'VI53', 'v53', 'v65', 'iv53', 'III53', 'iv53', 'i53', 'iv53', 'III53', 'iv53', 'i53', 'iv53', 'III53', 'iv53', 'i53', 'ii42', 'ii42', 'ii42', 'ii7', 'ii42', 'ii42', 'ii42', 'ii7', 'ii', 'i', '#iii', 'iv', 'ii42', 'i42', 'I42', 'iv', 'ii', 'iii', 'vii', 'iv', 'III53', 'v64', 'iv', 'VI', 'III', 'ii', 'VII', 'III42', 'iv', 'III', 'VII', 'VII', 'i7', 'ii', 'VII', 'iii', 'v', 'i', 'i', 'vi7', 'v', 'vii', 'VII', 'III53', 'i', 'i', 'VI', 'iv7', 'v65', 'vii', 'VII', 'VII', 'i', 'i7', 'i', 'i', 'i', 'i7', 'i', 'i', 'i53', 'i42', 'i', 'VI6', 'bV', 'VI6', 'bV', 'VI6', 'i', 'i']",(Anesthesia)-Pulling Teeth.1
0,104.0005546696249,d minor,"['-', 'i43', 'v', 'IV', 'i7', 'i43', 'v', 'IV', 'v', 'i43', 'ii42', 'IV', 'i7', 'i43', 'ii65', 'IV', 'v', 'i43', 'v', 'IV53', 'i7', 'v53', 'v', 'IV53', 'i64', 'i64', 'i65', 'IV53', 'i7', 'III65', 'IV64', 'IV42M7', 'i', 'i64', 'v', 'IV53', 'i7', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'v', 'IV53', 'i7', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'v', 'IV64', 'i7', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'VII', 'IV64', 'i7', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'VII', 'IV43M7', 'i7', 'i43', 'VII', 'IV53', 'i7', 'i43', 'v', 'IV53', 'i7', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'v', 'IV53', 'i7', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'v', 'IV53', 'i7', 'i43', 'v', 'IV53', 'i7', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'ii42', 'IV53', 'i65', 'i43', 'ii42', 'IV53', 'v', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'ii42', 'IV', 'vii', 'i43', 'ii42', 'IV', 'v', 'i43', 'ii42', 'IV', 'vii', 'i43', 'ii42', 'IV', 'v', 'i43', 'ii42', 'IV', 'vii', 'i43', 'ii42', 'IV', 'v', 'i43', 'ii42', 'IV', 'vii', 'i43', 'ii42']",(Blues Is) The Healer.1
0,104.00001386666851,d minor,"['-', 'i43', 'v', 'IV', 'i7', 'i43', 'v', 'IV', 'v', 'i43', 'ii42', 'IV', 'i7', 'i43', 'ii65', 'IV', 'v', 'i43', 'v', 'IV53', 'i7', 'v53', 'v', 'IV53', 'i64', 'i64', 'i65', 'IV53', 'i7', 'III65', 'IV64', 'IV42M7', 'i', 'i64', 'VII', 'IV53', 'i7', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'v', 'IV53', 'i7', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'v', 'IV64', 'i7', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'VII', 'IV64', 'i7', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'VII', 'IV43M7', 'i7', 'i43', 'VII', 'IV53', 'i7', 'i43', 'v', 'IV53', 'i7', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'v', 'IV53', 'i7', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'v', 'IV53', 'i7', 'i43', 'v', 'IV53', 'i7', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'ii42', 'IV53', 'i65', 'i43', 'ii42', 'IV53', 'v', 'i43', 'ii42', 'IV53', 'i7', 'i43', 'ii42', 'IV', 'vii', 'i43', 'ii42', 'IV', 'v', 'i43', 'ii42', 'IV', 'vii', 'i43', 'ii42', 'IV', 'v', 'i43', 'ii42', 'IV', 'vii', 'i43', 'ii42', 'IV', 'v', 'i43', 'ii42', 'IV', 'vii', 'i43', 'ii42']",(Blues Is) The Healer
0,172.00010320006191,d minor,"['-', 'bIII53', 'v43', 'v', 'vi53', 'I53', 'bIII53', 'v', 'ii', 'vi7', 'vi7', 'bVII65', 'bvii7', 'vi', 'iv', 'v', 'v', 'ii', 'v', 'v', 'ii', 'ii65', 'ii', 'v', 'IV', 'ii', 'v', 'vi7', 'IV', 'v42', 'v', 'vi7', 'vii43', 'v7', 'V', 'V', 'IV', 'v', 'i', 'vi', 'iv', 'v', 'i', 'vi53', 'v', 'v', 'V', 'ii6', 'v7', 'v', 'vi7', 'IV53', 'v', 'v', 'V', 'iii', 'v', 'v', 'V', 'v42', 'v', 'i', 'IV64', 'i', 'v', 'vi7', 'iv', 'ii', 'v', 'vi', 'iv', 'v', 'i', 'vi', 'ii', 'i', 'i', 'i', 'i', 'v', 'v', 'v', 'v', 'i', 'i', 'i', 'i', 'v', 'V', 'ii', 'v7', 'IV', 'IV6', 'v42', 'v42', 'vi7', 'v42', 'v', 'v', 'vi7', 'iii', 'v7', 'v', 'V', 'IV', 'v', 'i', 'vi', 'iv', 'v', 'i', 'vi53', 'ii', 'v', 'vi7', 'iv', 'v', 'v', 'vi53', 'ii', 'biii', 'ii', 'bvii', 'vi', 'biii', 'iv', 'V53', 'V53', 'V53']",(Do Not) Stand in the Shadows
